FEN,Move
5rk1/2q3bp/1p1p2p1/pP1P2r1/P7/4P2K/Q7/1B1R3R w - - 0 42,b1f5
8/8/8/4K3/1Bp5/2Pk4/4n3/8 b - - 11 51,e2c3
3r4/p1r1kpp1/1p2p2p/2p1n3/5P2/BP6/P1P2P1P/2KR1R2 b - - 0 20,e5f3
r1bqk1nr/6bp/p1n1p1p1/1pBp1p2/3P4/N3P1P1/PP2NPBP/R2Q1RK1 b kq - 3 13,g6g5
rn2k2r/1b2npbp/p2qp1p1/1p6/3PP3/1B3N2/PBP2PPP/RN1QR1K1 b kq - 1 11,b8c6
B7/6k1/5pp1/2N1Q2p/3P3P/6P1/PPP2P1R/1K1R2N1 w - - 0 28,h2h3
2r3k1/5pp1/1p2p2p/p1rnP3/P7/NP6/2R3PP/2R3K1 b - - 2 30,d5c3
3r2k1/8/4p1pp/4b1p1/3n4/4BP1P/5KP1/4N3 b - - 1 48,e5f4
2r1r1k1/p4b1p/1p3p2/3p1pp1/1N1PnB2/4P3/PP3PPP/2R1R1K1 w - - 0 30,f4g3
rnbq1k1r/pp1p2pp/1n1P1b2/8/8/1Q3N2/PP3PPP/RNB1R1K1 w - - 7 15,a2a4
r1b1k2r/2q1b1pp/p1n1pn2/1pp1p3/3p4/N2P1NBP/PPP1BPP1/R1Q2RK1 b kq - 2 13,f6h5
1r1q1rk1/ppp1npp1/7p/3pP3/3P4/1Q3N1P/PP3PP1/2R2RK1 b - - 4 18,e7g6
5rk1/1b4pp/rp3q2/n2p1p2/3P3P/2P1PB2/3N1QP1/R1R3K1 w - - 0 29,c3c4
8/p1R5/2p2kp1/3p1p2/5Nn1/P2P2K1/1r6/5B2 w - - 2 35,c7c6
7r/p6p/5k1Q/1p1rp1p1/1P6/8/PP3PPP/RNB2RK1 b - - 1 23,f6f5
r2qkb1r/pppb2pp/3p1n2/3Pp3/1QP5/5N2/PP2PPPP/RN2KB1R b KQkq - 0 8,e5e4
8/p7/8/3N1Q1p/3K4/8/PP4kP/8 w - - 2 38,h2h4
r4rk1/2p1bppp/p2q1n2/Np1P4/2p3b1/P1N3P1/1P3PBP/R1BQK2R w KQ - 3 14,d1c2
5rk1/rN1n1pp1/1p5p/4n3/8/2N5/PP3PPP/R2Q1RK1 w - - 0 21,b7d6
6R1/pp2r1R1/2pk2p1/3n2Pp/7P/P7/2P5/2K5 w - - 7 35,g7g6
r4rk1/ppq2ppp/2nbpn2/3p4/3P4/1PN2B1P/PBP2PP1/R2Q1RK1 b - - 2 12,a7a6
r3r1k1/ppq2ppp/1npb1n2/3pp3/4P1bP/2PP1NP1/PP1NQPB1/R1B1R1K1 w - - 3 12,d2f1
rn1q1rk1/1p1b1pb1/p2p1npp/2pP4/P3P2B/2NB1N1P/1PQ2PP1/R3K2R b KQ - 1 13,c5c4
8/p5k1/5p1p/8/4B3/2P3P1/Pr1r1qNK/R3R3 w - - 0 32,e1f1
2rq1rk1/pp2bppp/5n2/2PP4/1P1Qp1b1/P3P3/1B1N1PPP/R3KB1R b KQ - 0 12,d8d5
5r1k/pp4p1/6Rp/2P2p2/8/6P1/b4PBP/4R1K1 w - - 0 26,g2b7
r3kn2/3bqp2/p1p1p2Q/1p1pP3/3P1NP1/5N2/PPP2P2/R3KB2 w Qq - 0 20,f4d3
8/5k1p/6p1/pp1n4/4K3/1P4P1/r4P1P/1R6 b - - 0 32,d5c3
r2q1rk1/2p2ppp/p3b3/1pbpP3/5P2/1PN4P/PBP1QnP1/2KR1B1R b - - 4 16,d8h4
8/8/4K3/7k/8/6Q1/8/8 b - - 17 75,h5h6
r1bqk1r1/1pp1bpp1/p2p1n1p/8/3Nn3/2NBB3/PPP2PPP/R2QR1K1 b q - 1 12,d6d5
r1b2rk1/pp3ppp/4p3/3p4/3Bn3/PP2P3/2P2PPP/R3KB1R w KQ - 1 14,f2f3
r5k1/5pp1/5n1p/8/p7/6K1/3R3P/8 b - - 3 36,f6e4
8/p1pkb1Q1/8/5Pp1/5q2/2PP4/PP2K1R1/R7 b - - 4 32,d7e8
2r5/5kpp/5p2/4p3/1q6/1P2B3/P4PPP/4K2R w K - 4 30,e1f1
r1b3r1/ppp2k2/2n4b/8/3PB1pq/2P3P1/PPQ2P1B/R4K1R b - - 0 20,h4f6
2kr3r/ppp1p3/6p1/7p/3P4/P4q2/NPP4P/1K1R4 w - - 0 25,a2c3
r2qr1k1/pp1b1p1n/6pp/3Q4/3N4/2P1R2P/P1B2PP1/4R1K1 b - - 0 24,e8e3
r1bq1rk1/pp3p1p/4p1p1/8/3bBB2/1Q4P1/PP2PP1P/R1R3K1 b - - 0 14,d8f6
2r2rk1/1p3ppp/pnn3q1/4p3/4N3/4PQ2/PP1B1PPP/R4RK1 b - - 5 19,f7f5
8/Q7/Pp2pk2/4q1p1/1r3p1p/4p2P/4R1PK/8 w - - 1 45,a7h7
q7/2Q1rkbp/p7/3r1p2/3p4/1P6/P1PB3P/4RRK1 w - - 2 34,e1e7
4r3/2p2pbk/p5pp/p1P5/P2Np3/1P4P1/5QBP/3n3K b - - 0 29,d1f2
8/8/8/p3P2Q/1p5Q/2P3kp/P1PN4/2K4b b - - 1 36,g3h2
8/6p1/2kn1pP1/1p2pP2/1P2P3/N1K5/8/8 w - - 23 52,c3d3
7k/p6R/2pb4/8/8/2P5/PPQ1r2q/2K5 b - - 0 24,h2h7
r3kbnr/ppp2ppp/2n5/1B2Pb2/4p3/2N5/PPPN1PPP/R1B1K2R b KQkq - 5 8,g8e7
3qk1r1/5pr1/b1p1p3/p1P2Q2/3P4/1P2RNP1/P6P/4R1K1 b - - 0 28,d8c7
1n2kb1r/1p1b4/3p3p/1PpPpPp1/r1P1n3/P2B1NBP/5P2/R3K2R b KQk - 0 19,d7f5
1r4kb/4pr1p/p1ppq2N/4p1P1/2p1P3/2P4Q/PP4P1/1K1R3R b - - 3 28,e6h6
r4rk1/2p2pp1/p4b2/3qN1p1/1p1P4/1N5P/4BP2/Q1BK2R1 b - - 0 25,f6e5
r1nqr1k1/5pbp/p1b3p1/1pBp4/3P4/2P2QN1/PP1N1PPP/R4RK1 b - - 3 17,c8b6
r2q1rk1/pp3pp1/2n3p1/3p4/3Pn1P1/PBP4P/2P2P2/R1BQ1RK1 w - - 1 15,d1d3
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 b - - 0 8,c6d4
r1bq1rk1/pp1nppbp/2pp1np1/8/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 b - - 0 8,f8e8
rnbqk2r/pppp1ppp/8/2b1P3/8/2N2N2/PPPQPnPP/R1B1KB1R w KQkq - 0 6,c3a4
1r6/4rb2/1np5/3pkp2/4pNpP/pPP1P1P1/P4P2/1R1R1BK1 w - - 0 35,f4e2
1r3rk1/pN2qppp/4pb2/3R4/6Pn/2P4P/P4Q2/4K1NR b K - 4 20,e6d5
r1k5/p7/2b5/8/6p1/PRP5/3p1P1K/3R4 b - - 1 32,c6a4
r2q1rk1/5p2/2pb3p/1p2n1pn/P3P3/P1N2PB1/2B2P1P/R2Q1RK1 b - - 0 20,b5a4
8/8/3k4/8/8/4R2P/r5PK/8 b - - 2 43,d6d7
r2b1knr/1p3ppp/1q2p3/pBppPb2/P7/1PP1P1B1/3N1PPP/R2QK2R w KQ - 3 13,e3e4
8/8/6p1/3k4/PPp4p/2K4P/6b1/2b5 w - - 1 48,a4a5
r4rk1/p1pn2qp/1p2ppp1/4pb2/2P4Q/P2P1NR1/1P2BP1P/2KR4 b - - 5 21,d7c5
rnbq1rk1/1pp2pp1/pb1p1n1p/4p3/1PB1P3/P1NP1N1P/1BP2PP1/R2QK2R b KQ - 1 9,b8c6
4rrk1/pQ3ppp/3b1n2/2pn4/5P2/2Nq2P1/PP1B2BP/3R1R1K b - - 3 17,e8e7
r1b1r1k1/ppp2p1p/6p1/4n3/2P5/2PBRN2/P5PP/4R1K1 b - - 0 19,e5f3
2b2rk1/3rb1pp/p1N2p2/2PR4/1PN5/2P5/PB3PPP/5RK1 b - - 0 19,f8e8
8/2N2kbp/3nbppn/4p3/7B/5N1P/5PP1/5RK1 b - - 3 29,e6c4
r1b2k1b/1p6/p3npnq/P2Bp1p1/4P1N1/3P3P/2P2PP1/R1B2RK1 w - - 0 23,g4h6
rr3bk1/5p2/1q4p1/3pP3/8/1P1Q3P/8/N2R1R1K w - - 0 32,f1f6
r1bqk1nr/pp1pppbp/n5p1/2pPP3/8/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 7,d5d6
r2qkbnr/pp2ppp1/2n5/2ppPb1p/5P2/2NP1N2/PPP3PP/R1BQKB1R b KQkq - 2 6,e7e6
rnbqkbnr/ppp2ppp/8/4p3/2B5/1P1pP3/PBPP1PPP/RN1QK1NR w KQkq - 0 5,g1f3
r4rk1/1b3ppp/p1nqpn2/1p1p4/3P4/3BPN2/PP2NPPP/2RQ1RK1 w - - 2 13,d3b1
r4bk1/1p3p1p/p1b3p1/4Pp2/1qP2P2/1P2B3/P2R1Q1P/5BK1 b - - 2 31,a6a5
2kr4/ppp2ppp/6n1/4P3/5P1b/P3P2P/KPr3P1/R4B1R w - - 2 26,g2g3
1k6/1p6/6P1/r7/8/3P4/1q4K1/8 w - - 0 46,g2h3
rn3rk1/pR3pp1/2p1pb1p/8/5q2/5NPP/2P1QP2/1R4K1 b - - 0 21,f4f5
4k1nr/2q4p/r1p1p1p1/p1Q1Pp2/1p6/4P3/PP3PPP/R1BR2K1 b k - 0 16,a6b6
7K/7p/2k5/8/1b6/7p/8/8 b - - 1 44,h7h5
2k2r2/ppp5/3qp2p/3p2P1/3P2N1/2P1P1nR/PP2Q1P1/3R2K1 w - - 1 28,e2e1
r1b3k1/p1nnq2p/1pp1p1p1/2PpP1N1/3P3P/2N1Q3/PP3rP1/2KR3R b - - 1 16,f2f5
8/1b2k1p1/p3p3/4RpP1/B6r/1Pp1KP2/P1P5/8 b - - 2 44,e7d6
6k1/1Rnr4/6pp/p4p2/2KN4/5PP1/3b3P/8 w - - 10 36,d4b5
r4rk1/pppq1ppp/5b2/2p2N2/2P5/3P4/PP3PPP/2RQR1K1 w - - 2 16,d1f3
r3k2r/1p3ppp/pq1bp3/3P2Bb/2P5/8/PP2N1PP/R2Q1R1K b kq - 0 16,h7h6
r2q3r/ppp1bkpp/2npbn2/8/3pP3/1QP2N1P/PP3PP1/RNB1K2R w KQ - 2 9,f3g5
2kr3r/pp2p1b1/2p2n1p/2np1qp1/8/2PP1NP1/PPQ1PP2/R1B1KB1R b KQ - 0 15,f6g4
r4rk1/1ppqbppp/p1n5/3p3b/3PnB2/1BPQ1N1P/PP2NPP1/R3R1K1 w - - 3 15,f4h2
5k2/5pp1/1P2p2p/2KbP3/3P4/8/1r6/8 b - - 0 36,h6h5
5rk1/p4ppp/1p6/4q3/8/2n2PP1/P5QP/2R4K w - - 0 26,g2b2
r4rk1/4bp1p/p3p1pP/1p2N1P1/2p1NP2/8/PPP5/2K4R b - - 2 26,f7f5
rnbqk1nr/pppp2bp/5pp1/4p3/8/2PP1N2/PP1NPPPP/R1BQKB1R w KQkq - 0 5,h2h4
8/p1NR1N1p/1p4p1/2p2p1k/2B2P2/1Pn4P/2r3P1/6K1 w - - 17 41,c7e6
rnbq1rk1/pp2ppbp/5np1/8/2B5/2N1PN2/PP1B1PPP/R2QK2R b KQ - 0 9,c8f5
r4rk1/pp3pp1/3qp2p/1BP5/4p3/1P2P3/P4PPP/3Q1RK1 b - - 0 21,d6c5
3r1r2/1p3kpQ/p4q1p/8/2p1BP2/2P2PP1/PP4KR/8 w - - 1 30,e4b7
rnbq1b1r/pppk3p/5n2/3pQ3/4P2N/8/PPP2PPP/RNB1KB1R w KQ - 1 9,c1g5
r1b2rk1/pppn1qp1/3b1n1p/3P4/4p2B/P2B1N2/1PQ3PP/4RRK1 w - - 0 17,d3e4
8/5pkp/6p1/p7/P1R2R2/1q3P2/4KP2/8 b - - 15 42,h7h5
r2q1rk1/ppp2pbp/2n1p1p1/3nP3/3P4/2P2N2/PP2Q1PP/R1B1KB1R w KQ - 3 14,e2c2
r1bqr1k1/ppp2ppp/1bn2p2/3p4/1P1P4/P1P2NP1/4PPBP/RN1QK2R w KQ - 1 10,a3a4
r1b1k2r/pp1p1ppp/1qn1pn2/2b5/4P3/3B1N1P/PPPB1PP1/RNQ2RK1 b kq - 0 9,d7d5
rnbqk2r/1p1pb1pp/p3p1n1/5p2/B1PN4/1P2P3/P4PPP/RNBQK2R w KQkq - 0 9,d4e6
rnb1k1nr/1pq2pp1/2pp3p/p2P2b1/2P1PB2/2NB4/PP2N1PP/R2Q1RK1 b kq - 0 10,g8f6
8/5p2/5k2/2R5/1Pp5/2Pr1K2/8/8 w - - 2 51,f3e4
r2qk2r/p2n1ppp/2pbp3/1P6/2pPb3/2P1PNP1/4QPBP/R1BR2K1 b kq - 0 13,c6b5
2r2r1k/p3q1pp/1p1p2n1/3Bnp2/8/1P2PP2/PBP2P1P/R2Q1RK1 w - - 5 18,f3f4
r3rk2/pp1p1p1p/1q3Bn1/4p3/1P1bP3/P2B4/2PQ1PPP/1R3RK1 w - - 5 19,d2h6
r1bk2Br/pppp2p1/8/4q1p1/4P3/1Q6/Pb4PP/RN3R1K b - - 0 15,e5h2
r4rk1/1pp1n1pp/p1np1pq1/2b1p3/2P1P2P/2P2NP1/PP1BQP2/2KR3R b - - 0 16,b7b5
2kn3Q/1pq2p2/p2r4/5p1p/8/3P1b1P/PPP2PP1/R3R1K1 w - - 0 19,g2f3
3r2k1/p1q2p1p/Qp4p1/4b3/2B5/4P3/Pr3PPP/5RK1 w - - 2 26,f2f4
6k1/1p1r1pp1/p2q4/7p/P1BnP3/1PQ4P/5RP1/6K1 b - - 3 32,d4e6
r1b1k2r/3n4/2p5/ppp1pqNp/8/P2PQ1PP/1PP2P1K/R4R2 w kq - 0 22,f2f4
r4rk1/1ppqn1p1/p1pb1pp1/8/3PPPP1/2N3BP/PPPQ4/R3K2R b KQ - 2 14,g6g5
r1bqk2r/p4ppp/1b1p4/3p4/3P4/2P5/PP3PPP/RNBQ1RK1 w kq - 0 12,d1e2
1r4k1/p4pp1/1q2b2p/4Q3/2P5/1P5P/P5P1/6RK w - - 5 30,g1d1
r2q1rk1/1b2bpp1/p3pn1p/1pp5/4N2B/1P1P1N1P/1PP1QPP1/3RR1K1 b - - 1 16,f6d7
1r2k1nr/p1p5/1bpp1p2/4pR2/1P2N3/2P1P1P1/P2P3P/RNB4K b k - 1 18,g8h6
rnb1k1nr/ppp2ppp/4p3/8/4P3/2NP2P1/PPP5/R1BQKBNq w Qkq - 0 8,e1f2
r7/ppR2N2/2p1b3/7k/3bP3/6P1/P6K/2R5 b - - 0 27,a8f8
4rk2/ppp3p1/3b1n1p/3p4/P2Pp3/2P1B2P/1P3PP1/R4BK1 b - - 0 22,a7a6
8/6kp/5pp1/5p2/q3rPPK/7P/8/8 w - - 1 32,h4g3
6r1/2pk1p2/r3p3/1q5p/3PQ2P/4PPp1/PP4P1/R1R3K1 b - - 3 23,f7f5
3r1rk1/ppq3p1/5p1p/2b3n1/2B5/1P6/PBP1QPPP/R3R1K1 b - - 1 21,g8h8
8/p1p4p/1p4p1/8/bk4PN/5PK1/7P/8 b - - 1 32,a7a5
r7/pp4k1/7R/8/KPB5/P1PP4/3r4/4q3 w - - 1 34,h6d6
1k4rr/pp3p2/3p1P1b/3N2pp/q2PP3/P5PP/1P1Q2K1/2R1R3 w - - 1 30,d2d1
r4rk1/pppq1ppp/3pbb2/3N4/2B1PPP1/3Q4/PPP4P/2KR3R b - - 0 14,e6d5
rnbq1rk1/ppp3bp/4pnp1/3pN1B1/2BP4/2P5/PP3PPP/RN1QK2R w KQ - 0 10,c4b3
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/2P2P2/PP1NPBPP/R2QKBNR b KQkq - 3 8,c5d4
r3k1nr/pp3pp1/2ppb2p/8/8/4B3/PPP1BPPP/2KR3R b kq - 1 12,e8d7
rn5r/ppp1kppp/3b1n2/4p1B1/4P3/2N2B2/PPP2PPP/R4RK1 b - - 4 10,c7c6
rnb1kb1r/pp1ppppp/7q/2pP4/8/1Pn2N2/PQPNPPPP/R3KB1R b KQkq - 3 9,c3d5
6k1/5p2/6p1/7p/3q4/8/P5PP/5QK1 w - - 2 32,g1h1
8/R6p/6k1/2p5/5pQb/1P5P/P1P3K1/8 b - - 2 35,h4g5
r3k2r/2q2ppp/p2bpn2/1p1p4/1PnP2b1/P1PBBN2/2QN1PPP/R3R1K1 w kq - 1 14,h2h3
6k1/p4pp1/1p2p2p/2p5/4P3/1r2B2P/4K1P1/8 b - - 3 32,a7a5
r2q1rk1/ppp3pp/4p3/1Bnp4/8/3nR3/PP3PPP/RNBQ2K1 b - - 5 14,d8h4
rk2r3/p1R3p1/1p2Q1p1/8/5P2/P5P1/1PP4P/1K1R4 b - - 0 29,e8e6
r1bqk2r/pp1p1ppp/3p1n2/4n3/4P3/2PP1N2/PP2B1PP/RN1QK2R b KQkq - 2 8,b7b5
3r2k1/p4pp1/2p1p2p/1pPn4/1P4P1/P1R4P/5K2/8 w - - 3 35,c3f3
r5k1/1p1bqppp/5n2/p1b1p1B1/4P3/5PP1/PP2Q1BP/R2R3K w - - 0 19,a1c1
r2q1rk1/p1p1b1pp/bpn1pp2/1N1p4/3P3N/P3BQ2/1PP2PPP/2KR1B1R b - - 3 13,c6a5
r7/1bq4k/p1pp2pp/4p1bQ/PP2P3/2N4P/2P2PPN/R4RK1 w - - 0 27,h5d1
1r4k1/1P1q2pp/P4r2/R1ppp3/8/1P1Q1PR1/5P1P/7K b - - 2 32,b8f8
8/ppp1r2p/8/1P3R2/rR1k4/P5P1/4p1K1/8 b - - 1 40,a4b4
rnb1kbnr/1p1qpppp/8/pB1p4/P7/4P3/1BPP1PPP/RN1QK1NR b KQkq - 0 6,b8c6
r5k1/1b1pqpp1/pp4np/2p1P3/2B5/2NP1N2/PPP1QPPP/R4RK1 w - - 1 15,e2e3
4b3/p1p3kp/5p2/3B1p2/8/2P5/PP3PPP/5K2 b - - 1 31,c7c6
r3k2r/pp2qp1p/3P2p1/8/3b2n1/8/PPP2PPP/RNB3K1 w kq - 0 14,d6e7
2rq1rk1/pb1pppbp/1pn2np1/8/2P5/1PN1PN2/PB2BPPP/R2Q1RK1 b - - 4 11,d7d5
r6r/3qbkp1/ppb1pp2/4Pn1p/2Pp1P2/N4N2/1B4PP/R2QR1K1 w - - 0 21,d1d3
5rk1/1pp3pp/1p1pp3/4p2q/1P2P3/P2P1P1P/2P2PK1/1RB3R1 w - - 5 18,a3a4
5k2/2p2pp1/1p5p/p2P4/4RK2/2r5/7n/8 w - - 0 41,e4e2
5rk1/6p1/2p1p2p/pqb1Pp2/7P/1r4P1/2Q2P2/5RK1 w - - 0 35,g1g2
r4rk1/pppb1pp1/2n1p3/6N1/3P4/7R/q1PQ1PPP/5RK1 b - - 3 16,c6e7
4Q3/7k/p4pp1/1pNp2np/8/2P1N2P/PP3PPK/1q6 b - - 0 37,d5d4
3rr1k1/pp3pp1/1Qp4p/3p4/4n3/1NP1PNP1/PP2RPP1/4R1K1 b - - 0 20,a7b6
rnb2rk1/pp1pppbp/1qp2np1/8/N1B1P3/P2P1N1P/1PP2PP1/R1BQK2R b KQ - 2 8,b6d8
2R2nk1/p4qpp/3Nb3/3np3/8/P3P3/4BPP1/RN3K2 b - - 2 26,f7d7
3q1r2/5rbk/p5pp/1p2P3/8/6PP/PP1Q1R1K/8 w - - 0 28,f2g2
8/7p/6k1/Q4p2/1Rp1p3/2P1P1B1/5KPP/8 b - - 1 50,h7h6
r1b1rbk1/2q2pp1/2pp1n1p/1p2p3/p2PP3/P1P1BQ1P/1P1N1PP1/1BR2RK1 b - - 2 17,c7d8
r2r2k1/1q2bpp1/p3p2p/1pp1P3/2P5/1P1R2P1/PB2QP1P/5RK1 b - - 1 20,b5c4
rn1qk1nr/pbp3pp/1p1b1p2/4p3/8/4PNB1/PPPN1PPP/R2QKB1R w KQkq - 2 8,f1d3
6k1/p4pp1/1p2p2p/8/Pq1P4/4P1P1/Q2n1P1P/5BK1 w - - 2 29,f1b5
4r3/1pb4p/p5k1/R5B1/2P5/6PP/P4PK1/3r4 w - - 3 35,a5a4
1n6/1p3Q2/B1k5/p1p2b2/q7/8/P2B2P1/1KR5 w - - 3 35,f7f5
r4rk1/ppp3pp/3p1b2/8/1P2PP2/2P1qBP1/4Q2P/3RK2R b - - 2 28,f6c3
r2qk2r/pp1nbppp/4p1n1/3pP3/3P4/2N2N2/PP3PPP/R1BQK2R w KQkq - 4 10,g2g3
rn3rk1/4ppbp/2p3p1/q1Pp1bB1/3Nn3/4P3/PQ2KPPP/RN3B1R b - - 1 13,e4g5
r1bqkb1r/ppp1pppp/n6n/3p4/3P4/N4P1N/PPP1P1PP/R1BQKB1R b KQkq - 0 4,c8h3
5k2/8/8/3r4/2r4K/5p2/8/8 w - - 0 55,h4h3
2r5/5k2/p3pb2/1p1b1p2/1B1PpP2/1P2P1K1/P5P1/5R2 b - - 1 37,a6a5
r4rk1/ppp2ppp/8/3P1q2/8/2n5/P1P2PPP/4R1K1 b - - 0 19,a8e8
r2qk2r/pb3ppp/1pnbpn2/2pp4/3PP3/2PB1NB1/PP1N1PPP/R2QK2R b KQkq - 0 9,d6g3
6k1/6pp/1Np5/5p2/2P3b1/PP2p1P1/7P/n2r1KN1 w - - 1 38,f1g2
r3kr2/ppp1qp1Q/8/8/8/7N/PP2BP1P/3RK2b w q - 0 17,e1f1
5rk1/1p3ppp/p7/2n5/2P5/1PN2P2/P3r1PP/R4RK1 b - - 2 23,e2c2
r1b2r2/pp1nppkp/1n4p1/8/2P5/2N2N2/PP1RBPPP/R5K1 b - - 1 14,a7a5
3K4/3RPr1p/p1p2k2/8/PP6/2P5/8/8 b - - 8 40,f7e7
r4rk1/ppp2ppp/8/4q3/8/4P3/P3QPPP/R4RK1 w - - 0 16,e2f3
r3r1k1/1p3ppp/p1p5/2P5/4nP1q/P2BP3/1B4Q1/1R2R1K1 b - - 3 24,e4f6
2kr1r2/ppp1bpQp/8/3p1b2/5B2/2N2P1P/PPPK4/4RB1R w - - 0 17,e1e7
r2q1rk1/pp2bppp/2n1p3/2p2b2/3P1R2/2PB1N2/PP3PPP/R1BQ2K1 b - - 4 13,f5d3
8/8/q7/8/1K3P2/1QP5/6k1/8 b - - 31 75,a6d6
r1bq2k1/pp1p1r1p/2n1p1p1/8/8/8/P1P1PPPP/R1BQKB1R b KQ - 1 12,d8f6
5rk1/p5p1/7p/2p5/6R1/1P3Q1P/q4PPK/8 w - - 0 25,f3d5
2kr4/pR3pp1/1b5p/3P4/8/4P1PP/5P2/6K1 b - - 0 27,c8b7
8/5pk1/4p1p1/6P1/3PP3/4PK2/r7/1R6 b - - 2 40,a2a5
r4rk1/pp3ppp/2N2p2/2b5/8/2P1B3/PP3PPP/R2q1RK1 w - - 0 14,f1d1
2r2k2/pp1r1ppp/3qpn2/4R3/8/1B4Q1/PPP2PPP/R5K1 w - - 10 23,h2h3
8/5p2/5kp1/7p/6q1/8/8/7K w - - 4 53,h1h2
r2qk2r/2b1n1p1/p1p1b2p/1p3p2/3N4/2P1P3/PPBN1PPP/2RQ1RK1 b kq - 0 16,e6d5
r2qkbnr/1p3ppp/p1n1p1b1/3pP3/3B2P1/2N2N1P/PPP2P2/R2QKB1R w KQkq - 2 10,f1d3
r1bqkb1r/ppp1pppp/8/2n4n/4P3/3B4/PPPB1PPP/RN2K1NR w KQkq - 2 7,d3e2
rnbq1bnr/1p1kpQpp/p2pB3/2p5/8/4P3/PPPP1PPP/RNB1K1NR b KQ - 2 5,d7c7
2r5/5pk1/7p/5pp1/rR2p3/P7/4KPP1/R7 b - - 2 43,c8c2
4rrk1/p2n2bn/1p4p1/3q4/2p1N2B/2Pp1P1P/PP1Q2P1/R3R1K1 w - - 0 25,b2b3
8/5p2/4p1p1/3kP3/5P2/2K5/5P2/8 w - - 9 44,c3d3
r3k2r/p2qbppp/3p1n2/3N4/2p5/P1Pp1P1P/3P2P1/R1BQR1K1 b kq - 3 17,f6d5
7k/6pp/8/3r3P/p2n4/4B1P1/5K2/8 w - - 0 41,h5h6
4rrk1/p1p3p1/1p2p3/4Q2b/1PPK4/P5R1/3q2PP/8 w - - 0 29,d4e4
r3r1k1/pp3p2/1n3np1/3Pb3/4p3/1BN1B1PP/PP3P2/R2R2K1 w - - 2 23,g3g4
rn3rk1/p5p1/1p1b1q2/3p3p/1P1Pp3/P3N1PN/7P/1RBQK2R w K - 3 25,d1h5
2r3k1/1p3p2/p3b1p1/5n1p/5P2/1P4PP/5BBK/R7 w - - 0 30,g2b7
r1bq1rk1/ppp2pbp/2np2p1/4P3/4P3/2NBRN2/PPP2PPP/R2Q2K1 b - - 0 10,c6e5
8/8/P3k1p1/3R3p/4P2P/6P1/5PK1/8 b - - 0 40,g6g5
r4rk1/p1p4p/8/6p1/4Q3/P7/1P4PP/4Rq1K w - - 1 24,e1f1
r1b3k1/bpp4q/p3p3/P3p2Q/1P2PB2/2Pp4/3N3P/R3K3 w Q - 0 27,h5e8
r4k2/pp4p1/1P1p1n1p/8/2P1P3/3P4/Q7/1K2q3 w - - 0 31,b1c2
r2q1rk1/4nppp/p1nbp3/1p1p4/3P4/P1P2N1P/1PQN1PP1/R1B2RK1 b - - 2 13,d8c8
1r1q1r2/1b3pkp/3p1np1/2p2p2/pp2P1P1/3P2NP/PPPQ2B1/4RRK1 w - - 0 19,e4f5
r2qk2r/1bp2ppp/p1nbpn2/1p2N3/2pP1B2/P1N1P2P/1P3PP1/R2QKB1R w KQkq - 3 10,b2b3
r3r1k1/ppq2p1p/2pb1Nb1/4pp2/P1B5/2PP1P2/2P1Q1PP/1R3RK1 b - - 1 18,g8g7
1n6/8/2pk4/3P1p2/5Kp1/8/8/8 b - - 0 39,c6d5
rn2k2r/ppq2ppp/2pbpn2/3p4/8/3P2P1/PPPNPPBP/R1BQ1RK1 w kq - 5 9,c2c3
r4rk1/pb3ppp/3p1n2/8/3n4/2NP1PPN/PP3K1P/2R4R w - - 0 16,c3e4
rnb1kb1r/ppp1pppp/3q4/3N4/3P4/8/PPPB1PPP/R2QKBNR b KQkq - 0 7,d6d5
6R1/8/8/5r2/7k/8/4K3/8 w - - 11 110,g8g7
8/6k1/3p2p1/1p2p1b1/4P2p/1P1P3Q/4N1PP/5q1K w - - 6 35,e2g1
r2r4/4npkp/p1n3p1/2P5/N7/1b1BPN2/1P1K1PPP/3R3R w - - 1 20,d1a1
2k5/p6p/1p6/r1p2R2/8/5NP1/P4P1P/6K1 w - - 0 27,h2h4
r3kb1r/pp1n1ppp/1qn1p3/2ppP1B1/3P4/1PP5/P3NPPP/RN1QK2R b KQkq - 2 9,c5d4
r3kb1r/pp1np1pp/2p1bn2/q7/3PN3/2P5/PP2Q1PP/RNB1KB1R w KQkq - 1 10,e4f6
r4rk1/pppn2pp/2n1p1p1/3p2q1/3P4/2PBPPP1/PP1NQ1P1/R3K2R w KQ - 4 14,e1c1
3r4/8/4R1k1/1p5p/1Pp2Pp1/2P3P1/2K4P/8 b - - 0 34,g6f7
r5k1/1p3p1p/2n1bqp1/p1Pp4/3P4/P4B2/1P3PPP/R2QR1K1 b - - 2 18,c6d4
8/5ppk/6np/4b3/1Br3P1/P3R1KP/5P2/8 w - - 5 45,g3f3
r1bq1rk1/1p3pb1/p2pp2p/P1p3p1/2BPP3/2N2NPP/1PPQ2P1/3RR1K1 b - - 1 18,d8a5
r4rk1/p4p1p/2p2np1/1p2qb2/8/1QN1PB1P/PP3PP1/R4RK1 b - - 3 18,f5e6
